time[s], rv1_mhd[m/s], rv2_mhd[m/s], rv3_mhd[m/s], rv4_mhd[m/s], rv5_mhd[m/s], sampling_grid[1=yes;0=no]
0.178485 -0.303493 -0.912485 -0.288869 1.007804 0.261555 0 
0.179179 -0.113407 -0.385565 -0.288090 0.263659 0.141464 0 
0.179874 0.763987 -0.043891 -0.084316 1.062698 -0.402973 0 
0.180568 -0.590940 -0.476654 -0.152389 -0.364746 0.561123 0 
0.181263 -0.029381 -0.015460 -0.134554 -0.882987 0.070455 0 
0.181957 0.428046 -1.117925 -0.072582 0.636612 -1.300783 0 
0.182652 -0.915563 -0.874710 0.407868 -0.096899 -0.241797 0 
0.183346 0.876701 -0.321795 0.861593 0.388959 0.851608 0 
0.184041 0.129809 -0.291890 -0.722279 0.167120 -0.083331 0 
0.184735 -1.291833 -1.072632 0.499811 0.894894 -0.913425 0 
0.185430 -0.740315 -1.480105 0.394585 0.758927 0.014705 0 
0.186124 -0.827887 -1.490508 1.270230 -0.024117 0.765622 0 
0.186819 0.403563 0.057751 0.710710 0.714048 0.507919 0 
0.187513 1.018704 -1.228911 -0.345319 -0.005260 -0.099209 0 
0.188208 -0.412589 0.494661 0.716268 1.329237 -0.795614 0 
0.188902 0.514604 -0.782861 -1.050426 0.666347 0.253912 0 
0.189596 0.934801 -0.694879 0.917994 -0.801153 -0.461388 0 
0.190291 0.466896 0.145267 0.338902 0.735766 0.031297 0 
0.190985 0.359625 -1.439680 -0.862263 0.582631 0.711586 0 
0.191680 0.759434 -1.110487 -0.768431 0.083574 0.786104 0 
0.192374 0.755220 -0.403242 -1.764018 -0.636307 -0.078079 1 
0.193069 -0.052740 -0.754045 0.421300 1.260964 -0.085249 0 
0.193763 0.509362 -0.093848 0.464597 0.561854 1.259051 0 
0.194458 0.140544 -0.662858 -1.073486 0.412752 -0.676116 0 
0.195152 2.361753 -1.122975 0.069425 0.462023 1.172028 0 
0.195847 0.176081 -1.041814 -0.544645 -0.530753 0.080687 1 
0.196541 -0.572866 0.023274 -0.138924 0.314464 0.532347 0 
0.197236 0.014324 0.074451 0.594344 0.197684 0.277562 0 
0.197930 -0.264788 0.698292 -0.097474 0.802502 -0.509892 0 
0.198625 0.276106 -0.625209 -0.021359 0.078421 0.096625 0 
0.199319 0.606804 0.439116 0.404957 -0.943487 -0.389521 0 
0.200014 -0.482124 -0.246672 -0.499711 -1.249655 1.107170 0 
0.200708 -0.652632 -1.605398 0.391361 -0.940289 1.187629 0 
0.201403 -0.202001 0.735775 0.414255 0.098115 0.301199 0 
0.202097 0.037242 0.951445 0.446426 0.131951 0.697513 0 
0.202792 0.525423 0.684486 0.116716 0.244470 0.461738 0 
0.203486 0.530354 0.506435 0.715707 0.588092 0.894242 0 
0.204181 1.467896 -0.147695 -0.461692 1.333629 0.452648 0 
0.204875 0.671271 1.207791 -0.908604 0.910895 -0.267018 0 
0.205570 1.827996 -0.429307 -0.524359 0.811395 1.466268 0 
0.206264 1.272079 0.237517 -1.094874 -0.037783 0.936050 0 
0.206959 1.465607 0.467411 -0.309205 0.488362 0.413211 0 
0.207653 0.436978 0.452572 -0.255420 -0.090389 0.185615 0 
0.208348 -0.073571 0.592881 1.164367 -0.618306 -0.168370 0 
0.209042 0.123740 -0.060352 -0.259817 0.972414 -0.372247 0 
0.209737 0.438364 0.338698 -0.869865 0.131950 -0.610819 0 
0.210431 -0.416243 -1.028161 -0.937768 0.706659 -0.029715 0 
0.211126 0.861459 0.111752 0.000827 0.978793 -0.290695 0 
0.211820 -0.426870 -0.096988 0.789856 1.231434 1.049856 0 
0.212515 0.861059 0.513141 -0.105505 0.875744 -0.660692 0 
